VC1,VC2,-ED
1. leave/live,1. law/low,1. shouted/scouted
2. sleep/slip,2. raw/raw,2. figured/flickered
3. peak/pick,3. bought/boat,3. binded/blinded
4. ease/is,4. ball/bowl,4. stated/started
5. leap/lip,5. hall/hole,5. worked/walked
,6. walk/woke,6. signed/sighed
,7. bald/bold,7. corrected/collected
,8. lawn/loan,8. looked/booked
,9. flaw/flow,9. attracted/adapted
,10. caught/coat,10. leased/ceased
,11. called/cold,11. changed/charged
,12. drawn/drone,12. stopped/shopped
,13. ought/oat,13. needed/mended
,14. jaw/Joe,14. named/blamed
,15. claws/close,15. prayed/played
,16. awed/owed
