vc1_long,vc1_short,vc2_aw,vc2_ow,ed_td,ed_voiced,ed_voiceless
1. leave,1. lift,1. always,1. low,1. presented,1. signed,1. looked
2. employee,2. did,2. false,2. flow,2. expected,2. moved,2. talked
3. reach,3. figures,3. flaw,3. know,3. waited,3.ordered,3. breached
4. lead,4. still,4. nought, 4. go,4. added,4. pulled,4. stopped
5. steal,5. bill,5. fought,5. note,5. needed,5. applied,5. parked
6. sheet,6. driven,6. sought,6. close,6.attended,6. called,6. dropped
7. screen,7. commit,7. saw,7. old,7. limited,7. claimed,7. talked
8. ease,8. skilled,8. fall,8. goal,8. incorporated,8.happened,8. picked
9. release,9. interview,9. caught, 9. both,9. rejected,9. opened,9. checked
10. receive,10. internet,10. drawn,10. show,10. dominated,10. removed,10.launched
11. freelance,11. fringe,11. cause,11. coast,11. wasted,11. contained,11. advanced
12. feedback,12. fixed-term,12. launch, 12. show,12. stated,12. borrowed,12. developed
13. compete,13. invoice,13. abroad,13. open,13. regulated,13. designed,13. released
14. sheet,14. give,14. fought,14. loan,14. avoided,14. monopolized,14. priced
15. fee,15. instant,15. thought,15. stone,15. interested,15. shared,15. blocked
16. guarantee,16. win,16. yawn,16. vote,16. decided,16. proclaimed,16. marked
17. read,17. big,17. water,17. home,17. targeted,17. bailed,17. dispatched
18. referee,18.sick,18. broad,18. phone,18. provided,18. charged,18. expressed
19. people,19. certificate,19. almost,19. stroke,19. invited,19. tried,19. approached
20. niche,20. shipping,20. call,20. woke,20. invested,20. explained,20. placed
21. agree,21. tip,21. always,,21. attracted,21. underlined,21. faced
22. key,22. input,,,,22. discovered,
23. week,23. fit,,,,23. controlled,
24. team,24. bid,,,,24. offered,
25. feature,25. ticker,,,,25. concerned,
26. lean,26. shift,,,,26. valued,
27. lease,27. think,,,,27. slowed,
28. reason,28. different,,,,28. answered,
29. team,29. six,,,,29. consumed,
30. achieve,30. minimum,,,,30. arrived,
31. free,31. limited,,,,31. delivered,
32. leader,32. risk,,,,32. employed,
33. agreement,33. gig,,,,33. carried,
34. meet,34. system,,,,34. rolled,
35. degree,35. privilege,,,,35. allowed,
36. legal,36. critical,,,,36. offered,
,37. thinking,,,,37. issued
,38. charisma
,39. driven
,40. implicit
,41. written
,42. did
,43. strict
,44. condition
