VC1,VC2,-ED
1. stick,1. go,1. promoted
2. leave,2. row,2. performed
3. critical,3. raw,3. declined
4. seat,4. law,4. decided
5. bill,5. low,5. enquired
6. pitch,6. small,6. prioritized
7. meet,7. know,7. refunded
8. receipt,8. four,8. received
9. reach,9. over,9. shipped
10. certificate,10. close,10. requested
11. sheet,11. Paul,10. requested
12. big,12. only,12. executed
13. expertise,13. phone,13. worked
14. feature,14. flow,14. entitled
15. is,15. flaw,15. skilled
16. theme,16. poll,16. proceeded
17. deal,17. abroad,17. developed
18. shift,18. loan,18. failed
19. keep,19. towards,19. summarized
20. ease,20. though,20. disclosed
21. coffee,21. hope,21. owned
22. dream,22. close,22. selected
23. skill,23. thought,23. encouraged
,24. no,24. managed
