Module (week),Activity set,Activity,Type of activities,Exercice type,Pronunciation aspect,Problems (number) ; steps,Link to content,
Step into your career 👟,The Bar is Calling! ☎️  ,👋 Start here! ,TUTORIAL 1,Tutorial,WS,,https://xd.adobe.com/view/3d3adeba-88ed-4a2c-a22f-94cd711b2945-6869/,
Step into your career 👟,The Bar is Calling! ☎️  ,Stepping into your career ,Listening,Pick Stressed Syllable,WS,13,https://docs.google.com/spreadsheets/d/1WvRIKVl0HOo5nGaFEAP6afu6-QuQ4kbiU35ITTSdzrc/edit?usp=sharing,
Step into your career 👟,The Bar is Calling! ☎️  ,Day-to-day,Speaking,Spoken Card,WS,,https://docs.google.com/spreadsheets/d/1eeDSS4Cb_YPfO8vTkj-XzuiChuXsBUHKVnhP8MeC5mM/edit?usp=sharing,
Step into your career 👟,The Bar is Calling! ☎️  ,A clerk of art,Listening,Match Word to Stress Pattern,WS,8,https://docs.google.com/spreadsheets/d/1K43e4qyRSXCwShoKsAShTMUjbzmVLPvX1inighswH38/edit?usp=sharing,
Step into your career 👟,The Bar is Calling! ☎️  ,Studying law,Speaking,Spoken Card,WS,9,https://docs.google.com/spreadsheets/d/1wuQZdxsqBQy69p6A1_JeMc8PshA91TedLVhsR2Xt-qQ/edit?usp=sharing,
Step into your career 👟,The Bar is Calling! ☎️  ,Sollicitor or barrister? ,Speaking,Spoken Sentence,WS,5,https://docs.google.com/spreadsheets/d/1_DB4sIRK9DpmJwgewbc_DnLDAYeINf-pZt7-BlXQj2E/edit?usp=sharing,
Step into your career 👟,At the law firm 💼  ,Stressed syllables ,TUTORIAL 2,Tutorial,WS,,https://xd.adobe.com/view/90effe76-920c-4089-83da-76263037bb39-c5bc/,
Step into your career 👟,At the law firm 💼  ,At the law firm,Speaking,Spoken Card,WS,10,https://docs.google.com/spreadsheets/d/19JMKGeIUQULKmXSB4lga4eD-AZZ1UC_EKdgAnNA3Ov0/edit?usp=sharing,
Step into your career 👟,At the law firm 💼  ,Co-workers,Speaking,Spoken Card,WS,8,https://docs.google.com/spreadsheets/d/1GhUYNx2-jOzYJ4ySo34U8Jp0i_4Mz5I2T5IQ6MoxKik/edit?usp=sharing,
Step into your career 👟,At the law firm 💼  ,Who does what? ,Speaking,Spoken Card,WS,8,https://docs.google.com/spreadsheets/d/17y46bG19356O0FvrysC93hgOZLXyFxdFezMK6D8W3AI/edit?usp=sharing,
Step into your career 👟,At the law firm 💼  ,Call me maybe,Speaking ,Spoken Sentence,WS,5,https://docs.google.com/spreadsheets/d/1CD6AKXD1IIH2aSYG0RkNIIc57RS0y8X2z62S-wp_FdY/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,The Fab Five,TUTORIAL 3,Tutorial,WS,,https://xd.adobe.com/view/4dd173f6-624e-4ea0-a76e-439053d8823a-1882/,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,All about that document,Listening ,Pick Stressed Pattern,WS,10,https://docs.google.com/spreadsheets/d/1yQ2dl1hy3vKTwLmZ2BfQwpD-hhsjbrgHLS3ny3q9tXE/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,Let's evi-dance,Speaking,Spoken Sentence,WS,6,https://docs.google.com/spreadsheets/d/1hsgZtYhASGtMPTvCSjB-rsmk_3_oSZe0uBTBYHKiy6M/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,Practice round,Listening ,Pick Stressed Syllable,WS,8,https://docs.google.com/spreadsheets/d/1soyFDDBHkExZQHFynzuk6uLAUj-PXORRgXOjqt3OQHo/edit?usp=sharingg,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,Talking about documents,Speaking,Spoken Card,WS,11,https://docs.google.com/spreadsheets/d/1T7wulKPQcvm3P5cfX9REtHdRK6JTJwLkHueuSd7JSmQ/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Working in court: documents 📝  ,Types of evidence,Speaking,Spoken Card,WS,8,https://docs.google.com/spreadsheets/d/1Bp6wOkWxvO82wE53IOUuBUyJIXmNrU-Adr4EFgP9S2E/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Court types & people 👩🏽‍⚖️   ,Courting time ,Speaking ,Spoken Card,WS,11,https://docs.google.com/spreadsheets/d/1RMKQwiL0D-bGX-YdcVcd3UrGA7jCKuCFAyXb-DfB_u4/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Court types & people 👩🏽‍⚖️   ,Who are you? ,Speaking ,Spoken Card,WS,10,https://docs.google.com/spreadsheets/d/1U3mWHeOFLoFkw75zTOVVX6X6Md3Ni3mALO4EnYUGkxY/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Court types & people 👩🏽‍⚖️   ,Mix and match,Listening ,Pick Stressed Pattern,WS,10,https://docs.google.com/spreadsheets/d/1dZAwRfMHIuH_EBiOk44UY-e7-mA8a1-VazxZA-guiRc/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Court types & people 👩🏽‍⚖️   ,Who's got the power? ,Speaking ,Spoken Card,WS,5,https://docs.google.com/spreadsheets/d/17haFhgUsI8Zba7hGunSgJKDCYfktLvL1XL4OfaUTasI/edit?usp=sharing,
Working in Court 👩🏻‍⚖️,Court types & people 👩🏽‍⚖️   ,Verdict,Speaking ,Spoken Sentence,WS,5,https://docs.google.com/spreadsheets/d/1J06LVm1D8NOfQ0dImNnn9h-R1sctBIvnjqYm42YZ3ts/edit?usp=sharing,
