,syllables,normalized_text,n_syls,n_syls_SonoriPy
0,a cap|pel|la,a cappella,3,
1,a for|ti|o|ri,a fortiori,4,
2,a go|go,a gogo,2,
3,a pos|te|ri|o|ri,a posteriori,5,
4,a pri|o|ri,a priori,3,
5,a tem|po,a tempo,2,
6,a-plen|ty,a-plenty,2,
7,aal|borg,aalborg,2,2.0
8,aal|to,aalto,2,2.0
9,aard|vark,aardvark,2,2.0
10,aard|wolf,aardwolf,2,
11,aar|au,aarau,2,
12,aar|gau,aargau,2,
13,aar|hus,aarhus,2,2.0
14,aar|on,aaron,2,2.0
15,aar|on|it|ic,aaronitic,4,
16,aa|chen,aachen,2,2.0
17,aa|le|sund,aalesund,3,
18,aa|li|i,aalii,3,
19,aa|ron,aaron,2,2.0
20,aa|ron's beard,aaron's beard,2,
21,aa|ron's rod,aaron's rod,2,
22,aa|ron's-beard,aaron's-beard,2,
23,aa|ron|ic,aaronic,3,
24,aa|ron|ite,aaronite,3,
25,aa|ron|i|cal,aaronical,4,
26,ab in|i|ti|o,ab initio,4,
27,ab o|vo,ab ovo,2,
28,abb,abb,1,
29,abbe|vill|i|an,abbevillian,4,
30,abbe|vil|e|an,abbevilean,4,
31,abbr,abbr,1,
32,abbrev,abbrev,1,
33,abd-al-ka|dir,abd-al-kadir,2,
34,abd-al-rah|man,abd-al-rahman,2,
35,abd-el-ka|dir,abd-el-kadir,2,
36,abl,abl,1,
37,abp,abp,1,
38,abr,abr,1,
39,absinth,absinth,1,
40,ab|a,aba,2,3.0
41,ab|ac|ti|nal,abactinal,4,
42,ab|amp,abamp,2,
43,ab|am|pere,abampere,3,
44,ab|ap|tis|ton,abaptiston,4,
45,ab|at|tis,abattis,3,
46,ab|at|toir,abattoir,3,3.0
47,ab|ax|i|al,abaxial,4,
48,ab|a|ca,abaca,3,
49,ab|a|ci,abaci,3,
50,ab|a|cist,abacist,3,
51,ab|a|cis|ci,abacisci,4,
52,ab|a|cis|cus,abaciscus,4,
53,ab|a|co,abaco,3,3.0
54,ab|a|cus,abacus,3,3.0
55,ab|a|cus|es,abacuses,4,
56,ab|a|dan,abadan,3,
57,ab|a|lo|ne,abalone,4,4.0
58,ab|a|ris,abaris,3,
59,ab|a|tis,abatis,3,
60,ab|b,abb,2,
61,ab|ba,abba,2,2.0
62,ab|ba,abba,2,2.0
63,ab|bai,abbai,2,
64,ab|bas|id,abbasid,3,
65,ab|bas|sid,abbassid,3,
66,ab|bas|side,abbasside,3,
67,ab|ba|cy,abbacy,3,
68,ab|ba|tial,abbatial,3,
69,ab|be,abbe,2,2.0
70,ab|bess,abbess,2,
71,ab|bey,abbey,2,2.0
72,ab|bey,abbey,2,2.0
73,ab|bey the|a|tre,abbey theatre,4,
74,ab|bey|stead,abbeystead,3,
75,ab|bey|stede,abbeystede,3,
76,ab|be|ville,abbeville,3,2.0
77,ab|bie,abbie,2,2.0
78,ab|bot,abbot,2,2.0
79,ab|bot,abbot,2,2.0
80,ab|bots|ford,abbotsford,3,
81,ab|bott,abbott,2,2.0
82,ab|bot|cy,abbotcy,3,
83,ab|bot|ship,abbotship,3,
84,ab|boud,abboud,2,2.0
85,ab|bre|vi|ate,abbreviate,4,4.0
86,ab|bre|vi|at|ed,abbreviated,5,5.0
87,ab|bre|vi|at|ing,abbreviating,5,5.0
88,ab|bre|vi|a|tion,abbreviation,5,5.0
89,ab|bre|vi|a|tor,abbreviator,5,
90,ab|by,abby,2,2.0
91,ab|b|,abb,3,
92,ab|b|s,abbs,3,1.0
93,ab|cou|lomb,abcoulomb,3,
94,ab|der|hal|den,abderhalden,4,
95,ab|de|rus,abderus,3,
96,ab|di|as,abdias,3,
97,ab|di|cant,abdicant,3,
98,ab|di|cate,abdicate,3,3.0
99,ab|di|cat|ed,abdicated,4,4.0
100,ab|di|cat|ing,abdicating,4,4.0
101,ab|di|ca|ble,abdicable,4,
102,ab|di|ca|tion,abdication,4,4.0
103,ab|di|ca|tive,abdicative,4,
104,ab|di|ca|tor,abdicator,4,
105,ab|dom|i|nal,abdominal,4,4.0
106,ab|dom|i|nal|ly,abdominally,5,
107,ab|dom|i|nous,abdominous,4,
108,ab|don,abdon,2,
109,ab|do|men,abdomen,3,3.0
110,ab|duce,abduce,2,
111,ab|duced,abduced,2,
112,ab|duct,abduct,2,2.0
113,ab|duc|ing,abducing,3,
114,ab|duc|tion,abduction,3,3.0
115,ab|duc|tor,abductor,3,3.0
116,ab|dul-a|ziz,abdul-aziz,3,
117,ab|dul-ha|mid ii,abdul-hamid ii,3,
118,ab|du|cens,abducens,3,
119,ab|du|cens nerve,abducens nerve,3,
120,ab|du|cent,abducent,3,
121,ab|du|cen|tes,abducentes,4,
122,ab|er|crom|bie,abercrombie,4,4.0
123,ab|er|dare,aberdare,3,
124,ab|er|deen,aberdeen,3,3.0
125,ab|er|deen an|gus,aberdeen angus,4,
126,ab|er|deen|shire,aberdeenshire,4,
127,ab|er|do|ni|an,aberdonian,5,
128,ab|er|neth|y,abernethy,4,4.0
129,ab|er|rance,aberrance,3,
130,ab|er|rant,aberrant,3,3.0
131,ab|er|ran|cy,aberrancy,4,
132,ab|er|ra|tion,aberration,4,4.0
133,ab|er|ra|tion|al,aberrational,5,5.0
134,ab|er|yst|wyth,aberystwyth,4,
135,ab|es|se,abesse,3,
136,ab|es|sive,abessive,3,
137,ab|e|lard,abelard,3,3.0
138,ab|e|o|ku|ta,abeokuta,5,
139,ab|far|ad,abfarad,3,
140,ab|ga|tha,abgatha,3,
141,ab|hen|ry,abhenry,3,
142,ab|hom|i|na|ble,abhominable,5,
143,ab|hor,abhor,2,2.0
144,ab|horred,abhorred,2,2.0
145,ab|hor|rence,abhorrence,3,3.0
146,ab|hor|rent,abhorrent,3,3.0
147,ab|hor|rent|ly,abhorrently,4,
148,ab|hor|rer,abhorrer,3,
149,ab|hor|ring,abhorring,3,
150,ab|ing|don,abingdon,3,3.0
151,ab|ing|ger,abingger,3,
152,ab|ing|ton,abington,3,3.0
153,ab|ir|ri|tant,abirritant,4,
154,ab|ir|ri|tate,abirritate,4,
155,ab|ir|ri|tat|ed,abirritated,5,
156,ab|ir|ri|tat|ing,abirritating,5,
157,ab|ir|ri|ta|tion,abirritation,5,
158,ab|ir|ri|ta|tive,abirritative,5,
159,ab|i|a,abia,3,
160,ab|i|djan,abidjan,3,3.0
161,ab|i|ent,abient,3,
162,ab|i|et|ic ac|id,abietic acid,5,
163,ab|i|e|tate,abietate,4,
164,ab|i|gail,abigail,3,3.0
165,ab|i|gail,abigail,3,3.0
166,ab|i|lene,abilene,3,3.0
167,ab|i|lyne,abilyne,3,
168,ab|i|ot|ro|phy,abiotrophy,5,
169,ab|i|o|troph|ic,abiotrophic,5,
170,ab|i|sag,abisag,3,
171,ab|i|shag,abishag,3,
172,ab|ject,abject,2,2.0
173,ab|ject|ed|ness,abjectedness,4,
174,ab|ject|ly,abjectly,3,
175,ab|ject|ness,abjectness,3,
176,ab|jec|tion,abjection,3,
177,ab|jec|tive,abjective,3,
178,ab|junc|tion,abjunction,3,
179,ab|jure,abjure,2,
180,ab|jured,abjured,2,
181,ab|jur|a|to|ry,abjuratory,5,
182,ab|jur|er,abjurer,3,
183,ab|jur|ing,abjuring,3,
184,ab|ju|ra|tion,abjuration,4,
185,ab|khaz,abkhaz,2,
186,ab|kha|si|a,abkhasia,4,
187,ab|kha|si|an,abkhasian,4,
188,ab|kha|zi|a,abkhazia,4,3.0
189,ab|kha|zi|an,abkhazian,4,4.0
190,ab|lac|tate,ablactate,3,
191,ab|lac|tat|ed,ablactated,4,
192,ab|lac|tat|ing,ablactating,4,
193,ab|lac|ta|tion,ablactation,4,
194,ab|late,ablate,2,2.0
195,ab|lat|ed,ablated,3,
196,ab|lat|ing,ablating,3,
197,ab|laut,ablaut,2,
198,ab|la|tion,ablation,3,3.0
199,ab|la|tive,ablative,3,
200,ab|la|tive ab|so|lute,ablative absolute,5,
201,ab|la|ti|val,ablatival,4,
202,ab|la|tor,ablator,3,
203,ab|le|gate,ablegate,3,
204,ab|lu|ent,abluent,3,
205,ab|lu|tion,ablution,3,3.0
206,ab|lu|tion|ar|y,ablutionary,5,
207,ab|mho,abmho,2,
208,ab|mo|dal|i|ty,abmodality,5,
209,ab|na|ki,abnaki,3,
210,ab|ner,abner,2,2.0
211,ab|ney lev|el,abney level,3,
212,ab|ne|gate,abnegate,3,
213,ab|ne|gat|ed,abnegated,4,
214,ab|ne|gat|ing,abnegating,4,
215,ab|ne|ga|tion,abnegation,4,4.0
216,ab|ne|ga|tor,abnegator,4,
217,ab|nor|mal,abnormal,3,3.0
218,ab|nor|mal psy|chol|o|gy,abnormal psychology,6,
219,ab|nor|mal|cy,abnormalcy,4,
220,ab|nor|mal|ise,abnormalise,4,
221,ab|nor|mal|ised,abnormalised,4,
222,ab|nor|mal|is|ing,abnormalising,5,
223,ab|nor|mal|ize,abnormalize,4,
224,ab|nor|mal|ized,abnormalized,4,
225,ab|nor|mal|iz|ing,abnormalizing,5,
226,ab|nor|mal|i|ty,abnormality,5,5.0
227,ab|nor|mal|ly,abnormally,4,4.0
228,ab|nor|mal|ness,abnormalness,4,
229,ab|nor|mi|ty,abnormity,4,
230,ab|o,abo,2,2.0
231,ab|o,abo,2,2.0
232,ab|ohm,abohm,2,
233,ab|os,abos,2,
234,ab|o|li|tion,abolition,4,4.0
235,ab|o|li|tion|ar|y,abolitionary,6,
236,ab|o|li|tion|ise,abolitionise,5,
237,ab|o|li|tion|ised,abolitionised,5,
238,ab|o|li|tion|ism,abolitionism,5,6.0
239,ab|o|li|tion|ist,abolitionist,5,5.0
240,ab|o|li|tion|is|ing,abolitionising,6,
241,ab|o|li|tion|ize,abolitionize,5,
242,ab|o|li|tion|ized,abolitionized,5,
243,ab|o|li|tion|iz|ing,abolitionizing,6,
244,ab|o|ma|sum,abomasum,4,
245,ab|o|ma|sus,abomasus,4,
246,ab|o|rad,aborad,3,
247,ab|o|ral,aboral,3,
248,ab|o|rig|i|nal,aboriginal,5,5.0
249,ab|o|rig|i|nal,aboriginal,5,5.0
250,ab|o|rig|i|nal|i|ty,aboriginality,7,
251,ab|o|rig|i|nal|ly,aboriginally,6,
252,ab|o|rig|i|ne,aborigine,5,5.0
253,ab|o|rig|i|ne,aborigine,5,5.0
254,ab|ra|ca|dab|ra,abracadabra,5,5.0
255,ab|re|act,abreact,3,
256,ab|re|ac|tion,abreaction,4,
257,ab|ro|gate,abrogate,3,3.0
258,ab|ro|gat|ed,abrogated,4,4.0
259,ab|ro|gat|ing,abrogating,4,4.0
260,ab|ro|ga|ble,abrogable,4,
261,ab|ro|ga|tion,abrogation,4,4.0
262,ab|ro|ga|tive,abrogative,4,
263,ab|ro|ga|tor,abrogator,4,
264,ab|rupt,abrupt,2,2.0
265,ab|rupt|ly,abruptly,3,3.0
266,ab|rupt|ness,abruptness,3,3.0
267,ab|rup|tion,abruption,3,
268,ab|sa|lom,absalom,3,3.0
269,ab|scess,abscess,2,2.0
270,ab|scessed,abscessed,2,
271,ab|scind,abscind,2,
272,ab|scise,abscise,2,
273,ab|scised,abscised,2,
274,ab|scis|ing,abscising,3,
275,ab|scis|sa,abscissa,3,
276,ab|scis|sae,abscissae,3,
277,ab|scis|sas,abscissas,3,
