,syllables,normalized_text,n_syls,n_syls_SonoriPy
0,a,a,1,
1,a,a,1,
2,a,a,1,
18,a|bais|sa,abaissa,3,
19,a|bais|sai,abaissai,3,
20,a|bais|saient,abaissaient,3,
21,a|bais|sait,abaissait,3,
22,a|bais|sant,abaissant,3,
23,a|bais|sant,abaissant,3,
28,a|bais|se|ment,abaissement,4,
30,a|bais|ser,abaisser,3,
31,a|bais|se|ra,abaissera,4,
32,a|bais|se|rai,abaisserai,4,
33,a|bais|se|raient,abaisseraient,4,
34,a|bais|se|rais,abaisserais,4,
35,a|bais|se|rait,abaisserait,4,
37,a|bais|sez,abaissez,3,
38,a|bais|sons,abaissons,3,
40,a|bais|sé,abaissé,3,
41,a|bais|sé,abaissé,3,
42,a|bais|sée,abaissée,3,
43,a|bais|sée,abaissée,3,
44,a|bais|sées,abaissées,3,
45,a|bais|sées,abaissées,3,
46,a|bais|sés,abaissés,3,
47,a|bais|sés,abaissés,3,
50,a|ban|don,abandon,3,
51,a|ban|don|na,abandonna,4,
52,a|ban|don|nai,abandonnai,4,
53,a|ban|don|naient,abandonnaient,4,
54,a|ban|don|nais,abandonnais,4,
55,a|ban|don|nait,abandonnait,4,
56,a|ban|don|nant,abandonnant,4,
57,a|ban|don|nas,abandonnas,4,
60,a|ban|don|ner,abandonner,4,
61,a|ban|don|ne|ra,abandonnera,5,
62,a|ban|don|ne|rai,abandonnerai,5,
63,a|ban|don|ne|raient,abandonneraient,5,
64,a|ban|don|ne|rais,abandonnerais,5,
65,a|ban|don|ne|rait,abandonnerait,5,
66,a|ban|don|ne|ras,abandonneras,5,
67,a|ban|don|ne|rez,abandonnerez,5,
68,a|ban|don|ne|riez,abandonneriez,5,
69,a|ban|don|ne|rions,abandonnerions,5,
70,a|ban|don|ne|rons,abandonnerons,5,
71,a|ban|don|ne|ront,abandonneront,5,
73,a|ban|don|neurs,abandonneurs,4,
74,a|ban|don|nez,abandonnez,4,
75,a|ban|don|niez,abandonniez,4,
76,a|ban|don|nions,abandonnions,4,
78,a|ban|don|nons,abandonnons,4,
80,a|ban|don|nât,abandonnât,4,
82,a|ban|don|né,abandonné,4,
83,a|ban|don|né,abandonné,4,
84,a|ban|don|née,abandonnée,4,
85,a|ban|don|née,abandonnée,4,
86,a|ban|don|nées,abandonnées,4,
87,a|ban|don|nées,abandonnées,4,
88,a|ban|don|nés,abandonnés,4,
89,a|ban|don|nés,abandonnés,4,
90,a|ban|dons,abandons,3,
92,a|ba|sour|di,abasourdi,4,
93,a|ba|sour|di,abasourdi,4,
94,a|ba|sour|die,abasourdie,4,
95,a|ba|sour|die,abasourdie,4,
96,a|ba|sour|dir,abasourdir,4,
97,a|ba|sour|dis,abasourdis,4,
98,a|ba|sour|dis,abasourdis,4,
100,a|ba|sour|dis|sants,abasourdissants,5,
101,a|bat,abat,2,
102,a|bat,abat,2,
106,a|ba|tis,abatis,3,
107,a|bats,abats,2,
108,a|bats,abats,2,
111,a|bat|taient,abattaient,3,
112,a|bat|tais,abattais,3,
113,a|bat|tait,abattait,3,
114,a|bat|tant,abattant,3,
115,a|bat|tant,abattant,3,
116,a|bat|tants,abattants,3,
118,a|bat|te|ment,abattement,4,
119,a|bat|te|ments,abattements,4,
122,a|bat|teur,abatteur,3,
123,a|bat|teurs,abatteurs,3,
124,a|bat|tez,abattez,3,
125,a|bat|tiez,abattiez,3,
126,a|bat|tions,abattions,3,
128,a|bat|tis,abattis,3,
129,a|bat|tis,abattis,3,
130,a|bat|tit,abattit,3,
131,a|bat|toir,abattoir,3,
132,a|bat|toirs,abattoirs,3,
133,a|bat|tons,abattons,3,
134,a|bat|tra,abattra,3,
135,a|bat|trai,abattrai,3,
136,a|bat|traient,abattraient,3,
137,a|bat|trais,abattrais,3,
138,a|bat|trait,abattrait,3,
139,a|bat|tras,abattras,3,
141,a|bat|trez,abattrez,3,
143,a|bat|trons,abattrons,3,
144,a|bat|tront,abattront,3,
145,a|bat|tu,abattu,3,
146,a|bat|tu,abattu,3,
147,a|bat|tu,abattu,3,
148,a|bat|tue,abattue,3,
149,a|bat|tue,abattue,3,
150,a|bat|tues,abattues,3,
151,a|bat|tues,abattues,3,
153,a|bat|tus,abattus,3,
154,a|bat|tus,abattus,3,
155,a|bat|tus,abattus,3,
156,ab|ba|tial,abbatial,3,
164,ab|bé,abbé,2,
165,ab|bés,abbés,2,
167,ab|cès,abcès,2,
168,ab|di|ca|tion,abdication,4,
169,ab|di|ca|tions,abdications,4,
170,ab|di|qua,abdiqua,3,
171,ab|di|quai,abdiquai,3,
172,ab|di|quaient,abdiquaient,3,
173,ab|di|quais,abdiquais,3,
174,ab|di|quait,abdiquait,3,
175,ab|di|quant,abdiquant,3,
177,ab|di|quer,abdiquer,3,
178,ab|di|que|ra,abdiquera,4,
179,ab|di|que|rais,abdiquerais,4,
180,ab|di|que|rait,abdiquerait,4,
181,ab|di|quez,abdiquez,3,
182,ab|di|qué,abdiqué,3,
183,ab|di|quée,abdiquée,3,
184,ab|do|men,abdomen,3,
185,ab|do|mi|nal,abdominal,4,
188,ab|do|mi|naux,abdominaux,4,
189,ab|do|mi|naux,abdominaux,4,
190,ab|dos,abdos,2,
191,ab|duc|teur,abducteur,3,
195,a|ber,aber,2,
196,a|ber|rant,aberrant,3,
197,a|ber|rant,aberrant,3,
200,a|ber|rants,aberrants,3,
201,a|ber|ra|tion,aberration,4,
202,a|ber|ra|tions,aberrations,4,
203,ab|hor|rais,abhorrais,3,
204,ab|hor|rait,abhorrait,3,
205,ab|hor|rant,abhorrant,3,
207,ab|hor|rer,abhorrer,3,
208,ab|hor|rez,abhorrez,3,
209,ab|hor|ré,abhorré,3,
210,ab|hor|ré,abhorré,3,
211,ab|hor|rée,abhorrée,3,
212,ab|hor|rée,abhorrée,3,
213,ab|hor|rés,abhorrés,3,
214,ab|ject,abject,2,
216,ab|jec|te|ment,abjectement,4,
218,ab|jec|tion,abjection,3,
219,ab|jec|tions,abjections,3,
220,ab|jects,abjects,2,
222,ab|ju|ra|tion,abjuration,4,
223,ab|ju|ra|tions,abjurations,4,
225,ab|ju|rer,abjurer,3,
226,ab|ju|rez,abjurez,3,
227,ab|ju|rons,abjurons,3,
228,ab|ju|ré,abjuré,3,
230,a|bla|tif,ablatif,3,
231,a|bla|tion,ablation,3,
232,a|bla|tions,ablations,3,
236,a|blu|tion,ablution,3,
237,a|blu|tions,ablutions,3,
238,ab|né|ga|tion,abnégation,4,
239,a|boi,aboi,2,
240,a|boie,aboie,2,
241,a|boie|ment,aboiement,3,
242,a|boie|ments,aboiements,3,
243,a|boient,aboient,2,
244,a|boie|ra,aboiera,3,
245,a|boie|rait,aboierait,3,
